Time,gas_type,Gas concentration (ppb)
"Jan 2, 2020, 11 AM",PMXY,0.00028852313456203166
"Jan 2, 2020, 12 PM",OXY,0.0015083646673398714
"Jan 2, 2020, 12 PM",TOL,0.0013987313238127779
"Jan 2, 2020, 12 PM",ETHB,0.002260535412157575
"Jan 2, 2020, 12 PM",PMXY,0.0005093521322123706
"Jan 2, 2020, 1 PM",OXY,0.0009570408098322029
"Jan 2, 2020, 1 PM",TOL,0.0010821189110477765
"Jan 2, 2020, 1 PM",PMXY,0.00035144213325111195
"Jan 2, 2020, 1 PM",ETHB,0.001035606794175692
"Jan 2, 2020, 2 PM",ETHB,0.0015853352282041062
"Jan 2, 2020, 2 PM",PMXY,0.0003911799964650224
"Jan 2, 2020, 2 PM",TOL,0.0017326185770798475
"Jan 2, 2020, 2 PM",OXY,0.0009606301440120054
"Jan 2, 2020, 3 PM",ETHB,0.0019030526746064425
"Jan 2, 2020, 3 PM",PMXY,0.0006372029747581109
"Jan 2, 2020, 3 PM",TOL,0.0016322883020620793
"Jan 2, 2020, 3 PM",OXY,0.0007676871876659183
"Jan 2, 2020, 4 PM",ETHB,0.0015543832310608455
"Jan 2, 2020, 4 PM",PMXY,0.00034699067223950157
"Jan 2, 2020, 4 PM",TOL,0.0011509682143306626
"Jan 2, 2020, 4 PM",OXY,0.0014131011557765305
"Jan 2, 2020, 5 PM",ETHB,0.0014008494569376733
"Jan 2, 2020, 5 PM",PMXY,0.0003043066099053249
"Jan 2, 2020, 5 PM",TOL,0.0014783277923318867
"Jan 2, 2020, 5 PM",OXY,0.000821631159245347
"Jan 2, 2020, 6 PM",ETHB,0.0016664504801156
"Jan 2, 2020, 6 PM",TOL,0.0017138528928626329
"Jan 2, 2020, 6 PM",PMXY,0.00025364907196490094
"Jan 2, 2020, 6 PM",OXY,0.0012521428191879143
"Jan 2, 2020, 7 PM",OXY,0.0012033584207529202
"Jan 2, 2020, 7 PM",PMXY,0.0005315323311757917
"Jan 2, 2020, 7 PM",ETHB,0.0012866807276926313
"Jan 2, 2020, 7 PM",TOL,0.0015924425097182393
"Jan 2, 2020, 8 PM",OXY,0.0007629849521132807
"Jan 2, 2020, 8 PM",ETHB,0.0015110449555019538
"Jan 2, 2020, 8 PM",PMXY,0.0003879589263912446
"Jan 2, 2020, 8 PM",TOL,0.001183594858351474
"Jan 2, 2020, 9 PM",OXY,0.0007172587575041689
"Jan 2, 2020, 9 PM",ETHB,0.0018469628509289275
"Jan 2, 2020, 9 PM",PMXY,0.0002468885735045963
"Jan 2, 2020, 9 PM",TOL,0.001286315329101247
"Jan 2, 2020, 10 PM",OXY,0.0008852471413168436
"Jan 2, 2020, 10 PM",ETHB,0.0007750927907181904
"Jan 2, 2020, 10 PM",PMXY,0.0006547205921378918
"Jan 2, 2020, 10 PM",TOL,0.0012744418054353446
"Jan 2, 2020, 11 PM",ETHB,0.0010503921192139387
"Jan 2, 2020, 11 PM",OXY,0.0015657007112167775
"Jan 2, 2020, 11 PM",PMXY,0.0007361536845564842
"Jan 2, 2020, 11 PM",TOL,0.0015183559444267303
"Jan 3, 2020, 12 AM",ETHB,0.0017812799051171169
"Jan 3, 2020, 12 AM",OXY,0.001101010586959698
"Jan 3, 2020, 12 AM",TOL,0.0013605357865647723
"Jan 3, 2020, 12 AM",PMXY,0.000501768585309037
"Jan 3, 2020, 1 AM",PMXY,0.0002752590717136627
"Jan 3, 2020, 1 AM",ETHB,0.0009016594073424736
"Jan 3, 2020, 1 AM",TOL,0.0012304252789666255
"Jan 3, 2020, 1 AM",OXY,0.0008405884242771814
"Jan 3, 2020, 2 AM",ETHB,0.0018165413639508188
"Jan 3, 2020, 2 AM",OXY,0.00063221914266857
"Jan 3, 2020, 2 AM",PMXY,0.000610448859030536
"Jan 3, 2020, 2 AM",TOL,0.0011390357879766573
"Jan 3, 2020, 3 AM",ETHB,0.0012682817129340644
"Jan 3, 2020, 3 AM",OXY,0.0011992501240456477
"Jan 3, 2020, 3 AM",PMXY,0.0004849663898009264
"Jan 3, 2020, 3 AM",TOL,0.0014643638181344916
"Jan 3, 2020, 4 AM",ETHB,0.0011100754685079057
"Jan 3, 2020, 4 AM",OXY,0.0017085908063260529
"Jan 3, 2020, 4 AM",PMXY,0.0003502242543618195
"Jan 3, 2020, 4 AM",TOL,0.0008544009954979023
"Jan 3, 2020, 5 AM",TOL,0.0015163207523679982
"Jan 3, 2020, 5 AM",PMXY,0.0003097898297710344
"Jan 3, 2020, 5 AM",OXY,0.0009279066822879637
"Jan 3, 2020, 5 AM",ETHB,0.0010563518250516306
"Jan 3, 2020, 6 AM",TOL,0.001263044405883799
"Jan 3, 2020, 6 AM",PMXY,0.0004949663586254852
"Jan 3, 2020, 6 AM",OXY,0.001407894504761013
"Jan 3, 2020, 6 AM",ETHB,0.0008640900147535527
"Jan 3, 2020, 7 AM",OXY,0.0006821804660527656
"Jan 3, 2020, 7 AM",ETHB,0.0013987026371372242
"Jan 3, 2020, 7 AM",PMXY,0.00017365042367600836
"Jan 3, 2020, 7 AM",TOL,0.0010096768965013325
"Jan 3, 2020, 8 AM",TOL,0.0016402021865360439
"Jan 3, 2020, 8 AM",ETHB,0.00201814601678052
"Jan 3, 2020, 8 AM",OXY,0.001123374235855105
"Jan 3, 2020, 8 AM",PMXY,0.0005644587799906731
"Jan 3, 2020, 9 AM",TOL,0.0009356451579757655
"Jan 3, 2020, 9 AM",ETHB,0.0012205752573208883
"Jan 3, 2020, 9 AM",PMXY,0.00026856888689508196
"Jan 3, 2020, 9 AM",OXY,0.0010688149292642872
"Jan 3, 2020, 10 AM",TOL,0.0010877888416871428
"Jan 3, 2020, 10 AM",ETHB,0.001408156057420586
"Jan 3, 2020, 10 AM",PMXY,0.0003858491441600823
"Jan 3, 2020, 10 AM",OXY,0.0009454869931297642
"Jan 3, 2020, 11 AM",TOL,0.0012933319376315922
"Jan 3, 2020, 11 AM",ETHB,0.002487356284594474
"Jan 3, 2020, 11 AM",OXY,0.0018026508114417084
"Jan 3, 2020, 11 AM",PMXY,0.00028168620823028806
"Jan 3, 2020, 12 PM",TOL,0.0013557865653031815
"Jan 3, 2020, 12 PM",OXY,0.00119994431346034
"Jan 3, 2020, 12 PM",ETHB,0.0010772023209331867
"Jan 3, 2020, 12 PM",PMXY,0.0005731031245280368
"Jan 3, 2020, 1 PM",TOL,0.001873126670640583
"Jan 3, 2020, 1 PM",OXY,0.0005462162419765567
"Jan 3, 2020, 1 PM",ETHB,0.0012987172813154757
"Jan 3, 2020, 1 PM",PMXY,0.0006426660183933564
"Jan 3, 2020, 2 PM",TOL,0.0016700994989757116
"Jan 3, 2020, 2 PM",OXY,0.0007721390914715206
"Jan 3, 2020, 2 PM",PMXY,0.00028958783999163035
"Jan 3, 2020, 2 PM",ETHB,0.0012599213562983398
