datetime-dronetest,T-VOC concentration (ppb)
"Jan 18, 2020, 8 AM",263.0049966611685
"Jan 18, 2020, 9 AM",264.4958840682334
"Jan 18, 2020, 10 AM",270.6318693178466
"Jan 18, 2020, 11 AM",279.4136454948017
"Jan 18, 2020, 12 PM",274.15449222659225
"Jan 18, 2020, 1 PM",254.67190289478992
"Jan 18, 2020, 2 PM",256.36643536225864
"Jan 18, 2020, 3 PM",256.42567110416695
"Jan 18, 2020, 4 PM",253.21738646565794
"Jan 18, 2020, 5 PM",238.20095689626197
"Jan 18, 2020, 6 PM",216.3905500520065
"Jan 18, 2020, 7 PM",191.00174611224287
"Jan 18, 2020, 8 PM",159.51115717741297
"Jan 18, 2020, 9 PM",133.52816598106574
"Jan 18, 2020, 10 PM",119.19158212179424
"Jan 18, 2020, 11 PM",117.1709138575482
"Jan 19, 2020, 12 AM",119.58690931651047
"Jan 19, 2020, 1 AM",107.24523463331644
"Jan 19, 2020, 2 AM",92.14874224651898
"Jan 19, 2020, 3 AM",86.91444253802048
"Jan 19, 2020, 4 AM",76.2666868561312
"Jan 19, 2020, 5 AM",66.70712181013515
"Jan 19, 2020, 6 AM",59.727132902578944
"Jan 19, 2020, 7 AM",59.82278813975351
"Jan 19, 2020, 8 AM",55.5047395061363
"Jan 19, 2020, 9 AM",46.06453624838482
"Jan 19, 2020, 10 AM",33.74222795380011
"Jan 19, 2020, 11 AM",29.839849572939023
"Jan 19, 2020, 12 PM",27.076233348247257
"Jan 19, 2020, 1 PM",27.588947277605044
"Jan 19, 2020, 2 PM",26.780752217387235
"Jan 19, 2020, 3 PM",28.495153970295977
"Jan 19, 2020, 4 PM",33.78136570404426
"Jan 19, 2020, 5 PM",40.96080825256349
"Jan 19, 2020, 6 PM",47.165728660230776
"Jan 19, 2020, 7 PM",72.12771549237513
"Jan 19, 2020, 8 PM",92.98434698204971
"Jan 19, 2020, 9 PM",102.46551277921354
"Jan 19, 2020, 10 PM",111.08295830798292
"Jan 19, 2020, 11 PM",109.79270419179028
"Jan 20, 2020, 12 AM",114.40565791296238
"Jan 20, 2020, 1 AM",113.43894442499894
"Jan 20, 2020, 2 AM",119.95114398403263
"Jan 20, 2020, 3 AM",125.39694521184576
"Jan 20, 2020, 4 AM",122.46936991001789
"Jan 20, 2020, 5 AM",117.82903515367725
"Jan 20, 2020, 6 AM",122.48911475556167
"Jan 20, 2020, 7 AM",125.83307344875432
"Jan 20, 2020, 8 AM",115.29101934233503
"Jan 20, 2020, 9 AM",72.93917296043583
"Jan 20, 2020, 10 AM",60.238382420550074
"Jan 20, 2020, 11 AM",45.86607781045384
"Jan 20, 2020, 12 PM",41.45743896748244
"Jan 20, 2020, 1 PM",43.1648884068336
"Jan 20, 2020, 2 PM",41.43652123936259
"Jan 20, 2020, 3 PM",43.344085354759436
"Jan 20, 2020, 4 PM",47.1679426747907
"Jan 20, 2020, 5 PM",53.02362233571287
"Jan 20, 2020, 6 PM",68.86343524193741
"Jan 20, 2020, 7 PM",88.84899626998534
"Jan 20, 2020, 8 PM",103.27539150253422
"Jan 20, 2020, 9 PM",108.09439436687937
"Jan 20, 2020, 10 PM",111.52539910341851
"Jan 20, 2020, 11 PM",147.5417266315373
"Jan 21, 2020, 12 AM",171.81500842526293
"Jan 21, 2020, 1 AM",149.47665019579156
"Jan 21, 2020, 2 AM",132.87166008194848
"Jan 21, 2020, 3 AM",132.68486509832616
"Jan 21, 2020, 4 AM",132.20585656844978
